TrueLabel,PredictedLabel,Confidence,Correct
RS41-Radiosonde,RS41-Radiosonde,0.999997615814209,1
RS41-Radiosonde,RS41-Radiosonde,0.999952554702759,1
RS41-Radiosonde,RS41-Radiosonde,0.999999761581421,1
RS41-Radiosonde,RS41-Radiosonde,0.999964356422424,1
RS41-Radiosonde,RS41-Radiosonde,0.999996542930603,1
RS41-Radiosonde,RS41-Radiosonde,0.999999642372131,1
RS41-Radiosonde,RS41-Radiosonde,0.999969601631165,1
RS41-Radiosonde,RS41-Radiosonde,0.999990582466125,1
RS41-Radiosonde,RS41-Radiosonde,0.999982714653015,1
RS41-Radiosonde,RS41-Radiosonde,0.999997138977051,1
RS41-Radiosonde,RS41-Radiosonde,0.99999463558197,1
RS41-Radiosonde,RS41-Radiosonde,0.999978065490723,1
RS41-Radiosonde,RS41-Radiosonde,0.999973177909851,1
RS41-Radiosonde,RS41-Radiosonde,0.999978542327881,1
RS41-Radiosonde,RS41-Radiosonde,0.999985694885254,1
RS41-Radiosonde,RS41-Radiosonde,0.999947547912598,1
RS41-Radiosonde,RS41-Radiosonde,0.999989628791809,1
RS41-Radiosonde,RS41-Radiosonde,0.999991178512573,1
RS41-Radiosonde,RS41-Radiosonde,0.999989628791809,1
RS41-Radiosonde,RS41-Radiosonde,0.999739348888397,1
RS41-Radiosonde,RS41-Radiosonde,0.999983072280884,1
RS41-Radiosonde,RS41-Radiosonde,0.99996030330658,1
RS41-Radiosonde,RS41-Radiosonde,0.999989032745361,1
RS41-Radiosonde,RS41-Radiosonde,1,1
RS41-Radiosonde,RS41-Radiosonde,1,1
RS41-Radiosonde,RS41-Radiosonde,0.999975800514221,1
RS41-Radiosonde,RS41-Radiosonde,0.999632835388184,1
RS41-Radiosonde,RS41-Radiosonde,0.799773633480072,1
RS41-Radiosonde,RS41-Radiosonde,0.999974489212036,1
RS41-Radiosonde,RS41-Radiosonde,0.999995470046997,1
RS41-Radiosonde,RS41-Radiosonde,0.999971747398376,1
RS41-Radiosonde,RS41-Radiosonde,0.999999642372131,1
RS41-Radiosonde,RS41-Radiosonde,0.999995231628418,1
RS41-Radiosonde,RS41-Radiosonde,0.999401926994324,1
RS41-Radiosonde,RS41-Radiosonde,0.999993562698364,1
RS41-Radiosonde,RS41-Radiosonde,1,1
RS41-Radiosonde,RS41-Radiosonde,1,1
RS41-Radiosonde,RS41-Radiosonde,0.999797523021698,1
RS41-Radiosonde,RS41-Radiosonde,0.99978369474411,1
RS41-Radiosonde,RS41-Radiosonde,0.999999523162842,1
RS41-Radiosonde,RS41-Radiosonde,0.999998092651367,1
airband,airband,0.999731957912445,1
airband,airband,0.999819934368134,1
airband,airband,0.999739229679108,1
airband,airband,0.999982118606567,1
airband,airband,0.999994039535522,1
airband,airband,0.998381018638611,1
airband,airband,0.999998688697815,1
airband,airband,0.999911189079285,1
airband,airband,0.999906778335571,1
ais,ais,0.999994874000549,1
ais,ais,0.620684623718262,1
ais,ais,0.999769747257233,1
ais,ais,0.999974966049194,1
ais,ais,0.999984741210938,1
ais,ais,0.99998676776886,1
ais,ais,0.999665021896362,1
ais,ais,0.999827980995178,1
